238
96 72
34 -55
55 -67
130 36
134 32
57 -62
-1256 152
105 62
113 61
916 4
-1224 136
-1227 120
312 -344
109 31
-350 151
-1215 154
-1215 155
-1248 128
570 -45
579 -67
-1235 139
36 -50
-1214 150
37 -56
561 -55
-1212 132
-1231 145
101 67
35 -44
131 32
40 -52
566 -66
565 -75
99 19
52 -45
594 -69
129 30
52 -48
-1232 106
547 -88
135 30
579 -52
-1205 119
41 -51
130 54
594 -59
44 -64
570 -77
574 -39
39 -42
52 -56
38 -54
-1215 110
107 52
332 -350
549 -60
-1208 118
580 -61
587 -54
568 -76
-1211 108
55 -53
-1251 129
98 39
591 -58
555 -58
49 -49
574 -75
147 70
111 69
-73 482
314 -357
-1254 115
558 -85
45 -54
-1219 151
-1235 145
143 40
-1217 154
42 -64
-1241 120
560 -61
-349 153
113 44
-1211 112
-1229 150
118 53
125 39
47 -42
904 -6
36 -50
914 1
-1260 105
99 35
137 72
35 -63
580 -57
915 4
-1245 127
326 -333
-1255 156
31 -55
41 -49
100 69
543 -79
-66 483
553 -93
586 -58
-1233 120
-1230 152
-1231 104
107 72
-1238 123
31 -63
57 -61
131 39
48 -41
41 -52
554 -44
-357 151
93 28
-1215 128
-1234 113
-1258 151
-1253 140
-1252 146
122 52
121 22
-77 484
-1209 141
-1242 140
141 19
116 26
-1237 121
-1252 158
591 -47
563 -83
-1227 111
109 34
-1252 117
-1230 151
559 -86
-74 475
581 -73
52 -66
46 -43
51 -67
331 -335
113 55
316 -337
141 72
555 -62
51 -57
910 -4
540 -60
141 62
-1247 158
589 -77
108 54
-1216 139
99 26
92 31
-1246 117
31 -44
325 -340
139 57
-1252 142
-1258 148
-1251 104
540 -68
565 -74
-72 477
-1246 140
56 -63
561 -88
-1220 127
574 -80
-1246 144
-345 153
-1209 130
-1217 146
43 -64
128 57
547 -60
914 -8
913 -6
116 27
123 17
571 -78
594 -56
52 -62
98 61
47 -42
-1244 109
130 59
108 72
135 49
585 -64
545 -62
556 -47
144 17
-345 151
-1220 118
916 4
136 39
-1232 152
-1217 142
552 -68
331 -335
-1224 110
559 -70
-357 152
31 -46
-1244 136
553 -86
-1221 157
53 -50
586 -42
-1233 135
141 30
311 -358
57 -66
559 -80
-1244 138
554 -75
113 17
581 -61
316 -337
41 -47
582 -51
-1231 148
121 37
-1212 132
32 -54
-1238 117
58 -68
-1233 113
-347 157
4
10 4
20 12
40 36
80 100
145

