1000
-85 48
63 -37
-58 16
-22 -42
-79 -36
-44 -1
-57 -40
-32 3
-94 18
-72 -50
63 -46
39 -9
44 54
-88 21
-50 13
-21 -50
-26 4
-80 44
103 35
85 19
107 9
44 -49
53 20
108 37
20 8
-5 20
-1 29
-54 -14
-106 -38
75 -18
-58 -51
-80 -35
-56 -20
13 -38
62 -45
93 -25
-14 -14
16 -26
102 42
-72 15
82 11
33 21
-9 52
-69 39
-28 -40
14 -6
-72 -27
3 37
-36 -48
-81 -43
-67 37
-77 -25
30 22
-28 -19
-89 -51
100 -22
44 -52
-52 48
-9 -35
-66 -22
0 -52
14 -15
91 -48
-43 50
81 1
45 12
14 -46
15 -29
-49 28
-46 -40
11 -9
-13 -6
-6 -37
-15 -33
-19 19
105 16
50 -13
6 -14
55 -17
-86 52
-101 -25
21 -31
67 -15
-46 29
-65 -14
90 -17
15 -34
-24 -5
84 -29
-74 14
90 49
77 -1
-74 19
-75 36
-42 -25
-59 -50
80 -49
66 13
45 11
-13 -15
-10 5
-75 22
85 44
-37 -3
90 -7
56 49
40 13
-101 19
-68 -10
-10 7
-106 16
-20 24
36 6
-81 52
-25 -1
-28 25
-45 9
31 -31
16 7
-79 8
44 -26
27 -38
-34 13
48 34
31 -9
-34 -8
46 2
-48 53
-35 48
102 -42
3 19
89 17
44 0
-69 50
-21 27
27 12
35 -4
87 -45
59 -54
12 9
-56 -21
88 5
-27 -44
-46 -13
-23 53
-44 24
-17 0
36 24
15 28
-89 -37
-28 -32
15 -42
-95 37
73 -51
99 -24
-49 -34
-91 14
-26 38
6 32
-76 1
56 15
-97 5
-10 15
-63 -39
-24 26
56 -15
-23 -55
-102 -14
-54 -9
38 24
40 20
34 -26
-78 37
9 -7
-107 -5
-36 -36
-93 10
61 45
-3 51
74 -48
-110 29
91 -46
4 -13
-47 -9
-90 0
77 34
-85 38
-99 -3
92 39
66 45
-61 -51
-9 -8
49 -27
88 -48
-67 -35
-85 37
-43 28
-6 -34
-78 -25
3 9
11 29
-19 -38
-58 1
-3 44
-2 -12
28 34
-48 -41
-50 18
-43 -7
58 40
-25 39
-8 32
38 -31
-91 53
71 -36
-11 -53
-70 -20
108 -8
-2 26
-27 33
91 6
3 13
-76 -48
55 -21
73 -49
-38 24
64 -38
27 -4
107 49
-58 -8
58 -5
60 -28
10 32
-10 -17
61 38
-80 18
-66 -1
-101 47
-19 50
-46 48
-18 -49
-62 -10
-11 -12
79 -28
22 -12
-42 36
56 -22
-26 19
-26 49
55 -31
-31 4
-29 -22
-5 4
-103 37
11 -10
10 28
48 -34
49 2
3 -42
39 30
-106 -34
34 -41
7 38
-20 -14
-53 33
63 19
-45 27
52 -2
3 -42
-48 -31
75 -33
-8 14
24 -43
-96 16
44 44
97 -15
-49 -23
1 -47
-85 -32
29 53
-94 -29
-17 -40
19 -6
-80 20
42 44
-67 -27
73 10
-22 -3
-12 44
-84 45
-57 38
-82 51
-104 -15
-38 -17
31 21
26 -41
-46 29
67 -21
66 27
40 7
-10 31
-34 20
-11 2
-59 -2
-71 -16
104 -50
-9 53
-3 10
81 42
77 -23
84 -30
107 41
-55 48
35 40
-20 -1
40 -23
-58 -9
6 33
-24 33
90 -16
106 46
45 -14
-70 -44
-37 37
81 48
8 -23
93 26
77 -29
-100 32
-13 40
-79 -49
89 17
-25 -47
49 31
93 10
52 -25
60 14
84 0
15 23
98 -20
-34 9
-68 -25
-70 -43
-70 17
